"","X1","X2","intercept.M.vs.rest","coeff.M.vs.rest","pVal.M.vs.rest","pValHolm.M.vs.rest","qValBH.M.vs.rest","notMiss1.M.vs.rest","notMiss0.M.vs.rest"
"NCAM1_P13591","P13591","NCAM1",19.3164671223646,-0.24465995018049,0.0895382317928372,1,0.16164955941123,19,38
"F9_P00740","P00740","F9",22.0965774182512,0.173183961367027,0.0912753105733683,1,0.163687056961574,19,40
"CNDP1_Q96KN2","Q96KN2","CNDP1",19.3500714473311,0.695728269831867,0.0925324979028332,1,0.164842661826902,16,37
"F5_P12259","P12259","F5",20.7860039927352,0.194601651842313,0.0942050027002232,1,0.166718063989211,19,40
"C4BPB_P20851;P20851-2","P20851;P20851-2","C4BPB",22.5584973801284,-0.213225057036513,0.0981331292795363,1,0.172534717491472,19,40
"COMP_P49747","P49747","COMP",19.1535306501037,0.329387053423444,0.112767154753497,1,0.196976393692797,19,40
"RARRES2_Q99969","Q99969","RARRES2",18.4476940313368,-0.265162779141353,0.120103017150493,1,0.208436849119242,15,36
"GAPDH_P04406","P04406","GAPDH",21.3467480591024,-0.426240580572166,0.149880560503851,1,0.258447889586769,19,40
"DPP4_P27487","P27487","DPP4",18.9171740885203,-0.24229073579916,0.160589322257377,1,0.273978233965977,18,39
"EEF1A2_Q05639","Q05639","EEF1A2",21.1493215815745,-0.410505576655092,0.160924018463288,1,0.273978233965977,17,39
"ITIH4_Q14624","Q14624","ITIH4",26.4856609243822,0.154309073832973,0.174627837129513,1,0.295439548351189,19,40
"CFHR3_Q02985","Q02985","CFHR3",18.6362767629192,0.416387345488936,0.184544127219172,1,0.308303616921856,18,38
"C4BPA_P04003","P04003","C4BPA",26.3777999772874,-0.140441443628904,0.184859463506158,1,0.308303616921856,19,40
"HSPD1_P10809","P10809","HSPD1",18.4845392799078,-0.273580598544387,0.185669836213162,1,0.308303616921856,16,35
"CLU_P10909-6","P10909-6","CLU",25.1906390145268,-0.16015171713151,0.191468583739275,1,0.315981895864202,19,40
"EFEMP1_Q12805;Q12805-2;Q12805-3;Q12805-4","Q12805;Q12805-2;Q12805-3;Q12805-4","EFEMP1",20.7593463426541,0.1658985252264,0.193200968870879,1,0.316896711135771,19,40
"TTR_P02766","P02766","TTR",24.3961053192839,-0.311303767029564,0.196002610825555,1,0.319543650376207,19,40
"AZGP1_P25311","P25311","AZGP1",23.4966240956254,0.227549775465086,0.200859609226558,1,0.3254893667587,19,40
"APOC4_P55056","P55056","APOC4",19.3532668242672,-0.293934764525093,0.208879885061305,1,0.335774652110513,19,39
"PLTP_P55058","P55058","PLTP",21.3099178967476,0.195176777335409,0.209785103988902,1,0.335774652110513,19,40
"TNXB_P22105;P22105-1","P22105;P22105-1","TNXB",19.8157077374118,0.194849339749724,0.21095136136311,1,0.335774652110513,19,39
"C7_P10643","P10643","C7",23.8385093945537,-0.103188609499494,0.21637691034559,1,0.342384640488022,19,40
"C1R_A0A3B3ISR2;B4DPQ0;F5H2D0","A0A3B3ISR2;B4DPQ0;F5H2D0","C1R",22.23851953957,-0.176664689323404,0.219211963500688,1,0.344842211588801,19,40
"COLEC10_Q9Y6Z7","Q9Y6Z7","COLEC10",18.8718354177416,-0.125166315275134,0.224506237089317,1,0.349801244017738,18,38
"FGL1_Q08830","Q08830","FGL1",20.1418197571771,0.437348189846437,0.226896859647473,1,0.349801244017738,19,37
"PLXDC2_Q6UX71","Q6UX71","PLXDC2",18.5264304957994,0.167744819898935,0.226920701024179,1,0.349801244017738,18,35
"FGG_P02679;P02679-2","P02679;P02679-2","FGG",28.4735428456271,0.774691838072587,0.227565865067302,1,0.349801244017738,19,40
"LAMP2_P13473;P13473-2;P13473-3","P13473;P13473-2;P13473-3","LAMP2",19.4866027970543,-0.127942769948776,0.233553914547239,1,0.354973844391172,19,39
"FGA_P02671","P02671","FGA",28.8218312330771,0.581108852786762,0.233570150398653,1,0.354973844391172,19,40
"FGB_P02675","P02675","FGB",29.0292131643022,0.726740937846913,0.245294606495936,1,0.370698028918016,19,40
"HBB_P68871","P68871","HBB",24.1962715337951,-0.580923801215038,0.249359684771725,1,0.371418467095262,19,40
"HBA1_P69905","P69905","HBA1",23.7254419623228,-0.556011887110054,0.251375181278794,1,0.371418467095262,19,40
"GLIPR2_Q9H4G4","Q9H4G4","GLIPR2",17.7876903065853,0.16941990357719,0.252287147409945,1,0.371418467095262,15,33
"PRDX2_P32119","P32119","PRDX2",21.7676491650796,-0.527818085133647,0.25269629933398,1,0.371418467095262,18,40
"CFD_P00746","P00746","CFD",20.824289890445,-0.143490593982679,0.253839069225648,1,0.371418467095262,19,38
"COL6A3_P12111","P12111","COL6A3",18.5229585480423,0.171238563159016,0.25440937015334,1,0.371418467095262,19,39
"VCL_P18206;P18206-2","P18206;P18206-2","VCL",19.5830249143929,-0.341499824769637,0.255436492240236,1,0.371418467095262,19,40
"SELENBP1_Q13228-4","Q13228-4","SELENBP1",19.5022325849085,-0.436377566034292,0.263237160864052,1,0.380703205765753,16,34
"CFHR2_P36980;P36980-2","P36980;P36980-2","CFHR2",23.3851221664535,-0.155064446792936,0.267138555507551,1,0.384279526371825,19,40
"MMP9_P14780","P14780","MMP9",19.7231451939014,-0.38247638986725,0.272236898092986,1,0.389530455250071,18,39
"H6PD_O95479;O95479-2","O95479;O95479-2","H6PD",17.494223597193,0.139469603679347,0.274510721934781,1,0.390705736510349,18,37
"KRT6A_P02538","P02538","KRT6A",19.9078855046436,-0.424239591786225,0.288035171363674,1,0.407797163667517,19,38
"SERPINF1_P36955","P36955","SERPINF1",23.2317976052804,-0.0964923869938064,0.294562263774549,1,0.413359432627384,19,40
"SELL_P14151;P14151-2","P14151;P14151-2","SELL",21.2074550362969,-0.159746290238091,0.295037215853003,1,0.413359432627384,19,40
"HSPA8_P11142","P11142","HSPA8",19.3376938716252,-0.300991429557166,0.296786027797221,1,0.413655137188873,19,40
"ANG_P03950","P03950","ANG",19.5953989348004,-0.126781559482912,0.305749492326241,1,0.423951615648242,17,40
"MBL2_P11226","P11226","MBL2",20.3338958613427,-0.27051724123497,0.316819403115809,1,0.43704830481104,18,39
"PI16_Q6UXB8","Q6UXB8","PI16",18.473059587387,-0.344608464274563,0.338613010105994,1,0.464729080196492,14,35
"MASP2_O00187","O00187","MASP2",20.7000134605513,0.107781903426229,0.342970747597386,1,0.468320462455314,19,40
"TUBA1A_Q71U36;Q71U36-2","Q71U36;Q71U36-2","TUBA1A",20.1390962532804,-0.47249728683522,0.356434023419245,1,0.484246223736247,16,34
"ABI3BP_Q7Z7G0","Q7Z7G0","ABI3BP",18.2081431311712,0.123002167844689,0.361078526767986,1,0.488072929570569,17,35
"C4B_P0C0L5","P0C0L5","C4B",24.7306724990462,-0.14895837434178,0.362879501539456,1,0.488072929570569,19,40
"DEFA1_P59665","P59665","DEFA1",22.4244588912539,-0.383138342234208,0.366525494985646,1,0.489733708504504,19,40
"KRT16_P08779","P08779","KRT16",19.3467750936074,-0.366245186123639,0.367755424230148,1,0.489733708504504,18,37
